codigo,valor_atual,min_52_semanas,max_52_semanas,valorizacao_12m,liquidez_media_diaria,dy,p/l,peg_ratio,p/vp,ev/ebitda,ev/ebit,p/ebitda,p/ebit,vpa,p/ativo,lpa,p/sr,p/cap_giro,p/ativo_circ_liq,div_liquida/pl,div_liquida/ebitda,div_liquida/ebit,pl/ativos,passivos/ativos,liq_corrente,m_bruta,m_ebitda,m_ebit,m_liquida,roe,roa,roic,giro_ativos,cagr_receitas_5_anos,cagr_lucros_5_anos,patrimonio_liquido,ativos,ativo_circulante,divida_bruta,disponibilidade,divida_liquida,valor_de_mercado,valor_de_firma,segmento_de_listagem,free_float,setor_de_atuacao,subsetor_de_atuacao,segmento_de_atuacao
SAPR4,3.97,3.5,4.24,-0.057,15520883.87,0.056,5.28,1.26,0.79,4.0,4.84,2.67,3.23,5.01,0.42,0.75,1.19,8.02,-0.49,0.39,1.33,1.61,0.53,0.47,1.55,0.61,0.444,0.367,0.225,0.15,0.079,0.121,0.35,0.101,0.21,7577644000.0,14325353000.0,2105882000.0,4059032000.0,1070842000.0,2988190000.0,6005530733.0,8993720733.0,Nível 2,0.8,Utilidade Pública,Água e Saneamento,Água e Saneamento
SBSP3,36.81,31.69,42.78,-0.111,78335442.3,0.011,9.8,0.09,1.03,5.81,8.61,3.74,5.54,35.85,0.47,3.76,1.3,27.26,-0.55,0.56,2.05,3.03,0.46,0.54,1.15,0.356,0.348,0.235,0.133,0.105,0.048,0.08,0.36,0.087,0.368,24505769000.0,53076356000.0,7061474000.0,17917660000.0,4147645000.0,13770015000.0,25317205548.0,39087220548.0,Novo Mercado,0.497,Utilidade Pública,Água e Saneamento,Água e Saneamento
SCAR3,38.2,31.71,43.3,-0.066,203528.64,0.01,46.13,-1.05,1.41,16.76,22.2,11.08,14.68,27.18,0.71,0.83,8.33,7.25,-0.85,0.72,5.68,7.52,0.51,0.49,2.57,0.804,0.752,0.568,0.181,0.03,0.015,0.042,0.09,-0.066,-0.218,1569429000.0,3105451000.0,497956000.0,1454376000.0,324835000.0,1129541000.0,2205565586.0,3335106586.0,Novo Mercado,0.432,Financeiro e Outros,Exploração de Imóveis,Exploração de Imóveis
SEER3,11.74,9.41,19.18,-0.225,6509414.52,0.018,8.86,0.03,1.04,3.24,5.13,3.1,4.91,11.34,0.48,1.32,1.12,5.97,-0.64,0.05,0.16,0.26,0.46,0.54,1.46,0.537,0.362,0.229,0.127,0.117,0.054,0.145,0.42,0.042,0.011,1459583000.0,3174687000.0,800559000.0,487548000.0,407366000.0,80182000.0,1499606174.0,1579788174.0,Novo Mercado,0.422,Consumo Cíclico,Diversos,Serviços Educacionais
SGPS3,6.07,4.01,14.72,-0.058,316324.74,0.0,-2.56,0.04,0.3,4.6,5.71,1.36,1.69,20.46,0.09,-2.37,0.17,0.76,-0.17,0.71,3.24,4.02,0.31,0.69,1.36,0.351,0.124,0.1,-0.066,-0.116,-0.036,0.086,0.55,-0.075,0.0,1022991000.0,3256075000.0,1505495000.0,986857000.0,264712000.0,722145000.0,303500000.0,1025645000.0,Novo Mercado,0.468,Consumo Cíclico,Tecidos Vestuário e Calçados,Fios e Tecidos
SHOW3,3.62,2.65,7.79,-0.024,2451938.35,0.0,-2.43,-0.03,1.59,-2.3,-2.1,-3.1,-2.83,2.28,0.49,-1.49,20.4,2.57,-1.24,-0.42,0.83,0.76,0.31,0.69,1.46,-0.723,-6.583,-7.203,-8.405,-0.653,-0.202,-0.344,0.02,-0.408,0.0,153907000.0,497201000.0,300807000.0,135355000.0,200701000.0,-65346000.0,246056096.0,180710096.0,Novo Mercado,0.512,Consumo Cíclico,Viagens e Lazer,Produção de Eventos e Shows
SHUL4,8.61,6.36,11.17,0.257,1701576.39,0.022,7.69,0.05,1.82,36.57,43.88,5.74,6.89,4.73,0.72,1.12,0.96,1.66,-2.22,0.43,1.37,1.64,0.4,0.6,2.82,0.207,0.167,0.139,0.125,0.236,0.094,0.107,0.75,0.102,0.33,845771000.0,2126005000.0,1433884000.0,870028000.0,504247000.0,365781000.0,9420482531.0,9786263531.0,,0.565,Bens Industriais,Máquinas e Equipamentos,Motores  Compressores e Outros
SLCE3,47.21,33.49,51.35,0.371,61802984.65,0.022,9.4,0.05,2.79,0.0,7.0,0.0,5.74,16.92,0.78,5.02,1.79,8.31,-1.32,0.62,0.0,1.28,0.28,0.7,1.3,0.363,0.0,0.311,0.19,0.296,0.083,0.194,0.44,0.171,0.541,3595111000.0,12825433000.0,5245361000.0,2968066000.0,725420000.0,2242646000.0,9979613701.0,12222259701.0,Novo Mercado,0.411,Consumo não Cíclico,Agropecuária,Agricultura
SLED3,8.9,8.51,43.05,-0.751,22173.5,0.0,-0.08,0.0,-0.03,-1.4,-1.29,-0.08,-0.07,-305.75,0.06,-114.97,0.15,-0.2,-0.09,0.0,-1.35,-1.24,-1.97,2.97,0.54,0.397,-1.971,-2.148,-1.971,-0.376,-0.74,0.859,0.38,-0.326,0.0,-553939000.0,281449000.0,92958000.0,283254000.0,1936000.0,281318000.0,10869360.0,292187360.0,Nível 2,17.617,Consumo Cíclico,Comércio,Produtos Diversos
SLED4,4.29,4.13,23.1,-0.796,134905.5,0.0,-0.04,0.0,-0.01,-1.4,-1.29,-0.04,-0.03,-305.75,0.03,-114.97,0.07,-0.1,-0.04,0.0,-1.35,-1.24,-1.97,2.97,0.54,0.397,-1.971,-2.148,-1.971,-0.376,-0.74,0.859,0.38,-0.326,0.0,-553939000.0,281449000.0,92958000.0,283254000.0,1936000.0,281318000.0,10869360.0,292187360.0,Nível 2,17.617,Consumo Cíclico,Comércio,Produtos Diversos
SMLS3,22.4,16.11,22.79,0.214,25865505.33,0.18,10.78,-0.33,4.09,0.0,9.93,0.0,10.17,5.47,1.02,2.08,4.21,18.78,-2.54,-0.1,0.0,-0.24,0.25,0.75,1.1,0.852,0.0,0.414,0.391,0.38,0.094,0.245,0.24,0.0,0.0,679678000.0,2734722000.0,1641477000.0,0.0,64721000.0,-64721000.0,2781160547.0,2716439547.0,,0.0,Consumo Cíclico,Diversos,Programas de Fidelização
SMTO3,37.15,27.0,40.34,0.301,43783334.78,0.062,12.72,1.13,3.31,5.71,11.01,4.22,8.14,11.26,1.06,2.93,2.61,9.68,-1.43,1.16,1.47,2.84,0.32,0.68,1.74,0.399,0.617,0.32,0.205,0.26,0.084,0.134,0.41,0.13,0.381,3986589000.0,12417856000.0,3205608000.0,5963597000.0,1350504000.0,4613093000.0,13250644044.0,17863737044.0,Novo Mercado,0.404,Consumo não Cíclico,Alimentos Processados,Açucar e Alcool
